식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
개나리 자스민,그림,Gelsemium sempervirens,"개나리 자스민은 개나리 꽃을 닮은 노란색 꽃이 피는 식물이에요. 아기 파우더 향기가 나는 향긋한 꽃 때문에 자스민으로 불리고 있어요. 넝쿨형으로 빠르게 자라는 편이어서 다양한 수형으로 기를 수 있어요. 영문 이름은 옐로우 자스민, 캐롤라인 자스민이에요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,16~26℃ , 5℃  이상,"녹색잎, 노란꽃",꽃을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,"소, 중형",중,"소: 6천원~1만원
중: 3만5천원~4만5천원",,,,,,,
프리지아,그림,Freesia,"프리지아는 향기가 좋은 쨍한 노란색 꽃이 인기있는 식물이에요. 빨간색, 분홍색, 흰색, 보라색과 같이 여러가지 꽃 색이 있어요. 그리스 로마 신화에서 비운의 순애를 한 요정의 이름을 따왔다고 해요. 꽃말은 천진난만, 순진, 영원함 이라고 해요.","싹이 나온 뒤 주2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,10~18℃ ,0~10ºC ,"녹색잎, 다양한색상의 꽃",꽃을 감상하는,,,,,,,,소형,하,2천원~5천원,,,,,,,
아글라오네마 그린아트,그림,Aglaonema commutatum,"아글라오네마 그린아트는 큼직한 잎에 에메랄드색 무늬가 아름다운 식물입니다. 화려한 잎을 가졌지만, 빛이 적은 곳에서도 잘 자라고 키우기 까다롭지 않아 초보가드너에게 추천하는 식물이에요. 아글라오네마는 '행운', '행복'이라는 꽃말을 가지고 있고 공기정화 능력도 뛰어나 선물하기도 좋은 훌륭한 실내 식물이랍니다. 동남아시아가 고향인 아글라오네마는 고온다습한 환경을 좋아해요. 따뜻한 곳에서 주변 공기의 습도를 촉촉하게 관리해주면 누구나 건강하게 잘 키울 수 있어요!","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,16~21℃,10ºC 이상,녹색잎에 애매랄드빛 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,,소형,하,"1만5천원~2만원
",,,,,,,
무스카리,그림,Muscari armeniacum,포도 히아신스' 라고도 불리는 무스카리는 수십개의 작은꽃이 피는 백합과의 구근식물이에요. 구근 지름은 2~5cm정도이고 꽃이 피면 약 10~30cm의 높이까지도 성장해요.,"싹이 나온 뒤 주2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,10~18℃ -,0~10ºC ,"녹색 잎, 파란꽃",꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,초보자,,소형,하,4천원~1만원,,,,,,,
루카덴드론,그림,Leucadendron salignum,유카덴드론' 또는 '레우가덴드론' 이라고도 불리는 루카덴드론은 프로테아과에 속하는 꽃이 아름다운 식물이에요. 커다랗고 독특한 생김새의 꽃은 절화로 많이 이용되고 있어요. 남아프리카 출신이어서 강한 햇빛을 좋아합니다. 보통 1 ~ 2m 정도의 크기까지도 성장해요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,16~25℃,0~10ºC ,녹색잎,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,"소, 중형",중,-,,,,,,,
칼라데아 세토사,그림,Calathea 'Compactstar',"칼라데아 세토사는 칼라데아 속 마란타과 식물로서 이쁜 외형을 자랑하는 식물이에요. 길고 둥근 잎이 일품인 칼라데아 세토사는 잎의 윗면에는 길게 뻗은 줄무늬가 시원스럽게 뻗어 있어 마치 호랑이 무늬를 연상시켜요. 같은 칼라데아 속 식물인 칼라데아 프레디와 겉모습은 비슷하지만 칼라데아 세토사는 멋지게 자라난 잎 뒷면에 아름다운 버건디색을 감추고 있어요. 갈색의 솜털이 보송보송한 줄기는 거미의 다리가 생각나요. 칼라데아는 기도하는 식물로 불리며, 수분 손실을 최소화 하기위해서 밤에는 잎이 위를 향하고 낮에는 아래로 향해요. 자생지에서 큰 식물 아래에 있는 식물이에요. 다른 식물 사이에 배치하거나 가습기를 이용해서 높은 습도를 유지해주는 것이 중요해요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70%이상,16~25℃, 12℃ 이상,"녹색 잎에 연두색 무늬, 잎 뒷면은 버건디색",잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,,소형,중,"4천원~1만원
",,,,,,,
디펜바키아 트로픽스노우,그림,Dieffenbachia amoena 'Tropic snow',"디펜바키아 트로픽스노우는 마리안느와 비슷한 잎 모양을 가지고 있는 친구에요. 녹색 바탕에 흰 무늬가 가운데 들어가 있으며 두꺼운 잎을 가지고 있어요. 마리안느보다 크기가 크며, 대형종 식물이에요. 다른 관엽식물에 비해 성장이 빠른 편에 속하고 열대 우림의 느낌을 내는 잎 모양을 가지고 있어요. 다른 디펜바키아 종류보다 넓은 잎을 가져 공기정화에 효과가 좋아요. 트로픽스노우는 잎에 옥산살이라는 독이 있어 잎을 씹거나, 먹게되면 입안이 부풀어 오르고 일시적으로 마비가되니 주의해야해요. 어린아이나 반려동물이 있는 가정은 주의해주세요! 잎을 자르거나 가지치기시 일회용 장갑을 끼고 잎을 잘라주세요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70%이상,16~27℃,8℃ 이상,녹색잎에 흰색 무늬,잎을 감상하는,,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,,주의 필요,대형,중,12만원~17만원,,,,,,,
"지바시스 펠루치다(실달개비, 엘레강스)",그림,Gibasis geniculata (Jacq.) Rohw,"지바시스 펠루치다는 닭의장풀과 식물로 실달개비라고도 불리는 친구에요. 유통명은 엘레강스, 엘레강스 달개비라고도 불리며 안개꽃의 꽃과 많이 닮아 있아 혼란을 주기도 한답니다. 잎들이 뭉쳐 모여, 잎 사이에 작은 흰 꽃이 여러군데 피어나요. 신부 면사포 'Bridal Veil' 이라는 영어 이름을 가지고 있어서 결혼식을 떠올리게 젊은 부부에게 선물 한다면 더욱 좋은 식물이랍니다.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~25℃ ,5℃ 이상,"진녹색 잎, 하얀꽃",꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,소형,중,1만8천원,,,,,,,
호주매화(마누카),그림,Leptospermum scoparium,"호주 매화는 유칼립투스와 친척인 도금양과 식물이에요. 티트리의 잎과 닮아서 뉴질랜드 티트리라고도 불린답니다. 진한 녹색의 뾰족한 잎과 붉은색 꽃의 조화가 아름다워 인기가 많아요. 호주 매화는 물을 말리면 한순간에 잎이 바싹 마를 수 있어요. 또한 꽃이 피는 시기에 판매가 많이 되는데, 꽃망울이 있는 상태에서 분갈이는 식물에게 치명적일 수 있으니 꽃이 지고 난 후 분갈이를 해주는 것이 좋아요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18 ~25℃, 0℃ 이상,진녹색,꽃을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 빳빳한,,,"소, 중형",중,"소: 6천원~1만5천원
중: 2만원~4만원",,,,,,,
율리치아나 스프랄리스,그림,Eulychnia castanea var. varispiralis,"율리치아나는 판형녹죽이라고도 불리는 식물이에요. 율리치아나는 형태에 따라 대표적으로 나선모양, 원판모양, 기둥모양등 다양하게 있지만 한국에는 많이 들어와 있지 않은 식물이에요. 선인장을 수집하는 사람들에게 높은 가치를 지니고 있으며 강한 가시를 유지시키고자 한다면 따듯하고 햇빛이 많이 받는 자리에 둬야해요. 겨울철 서리에 강하기 때문에 겨울철 활동을 멈추고 휴식을 취할 때에는 서늘하거나 시원한 곳에서 키우면 좋아요.","3주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,22~30℃,2℃ 이상,녹색,다육/선인장,O,,,,,,,"소, 중형",중,-,,,,,,,
에크메아 파시아타,그림,Aechmea Fasciata,"파시아타는 파인애플과에 속하는 식물이에요. 산세베리아의 무늬처럼, 스스로를 보호하려고 잎에 하얀 분이 묻어있어요. 잎과 뿌리 두군대로 양분과 수분을 흡수하는 식물이에요. 꽃은 잎 한가운데 분홍색 꽃받침이 올라오고 꽃받침 사이에 작은 보라색 꽃이 피어요. 파시아타는 원산지에서 바위나 나무에 붙어 자라는 친구에요. 습도가 높은 것을 좋아하고 잎 안에 자가 물탱크를 가지고 있어서 물을 머금고 있다가 수분보충을 하는 신기한 친구랍니다. 미지근한 물을 마르지 않게 중심 구멍에 새로 채워주시는게 좋아요.","2주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,40~70%,18~25℃,10℃ 이상,"하얀분이 있는 녹색 잎, 분홍색 꽃",꽃을 감상하는,,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 빳빳한,,,중형,중,2만원~3만5천원,,,,,,,
자주 만년초(부자란),그림,Rhoeo discolor,"부자란은 닭의 장풀과의 식물로 자주 만년초라고도 불리는 자주색 빛을 띄는 식물이에요. 접란과 비슷하게 잎에 무늬가 있어요. 부자란을 키우게 되면 짧은 사이에 어린 잎이 많이 올라와서 그런지 부부 사이에 금슬이 좋아지고, 금전수와 같이 부자가 된다고 하여 붙여진 이름이에요. 잎의 뒷면은 분홍색, 자주색인데 앞뒤가 다른 색감이 매력적이에요.","주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,18~26℃,5℃ 이상,"녹색잎에 자주색 무늬, 잎 뒤면은 분홍, 자주색",잎을 감상하는,,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,,,소형,중,4천원~7천원,,,,,,,
티트리,그림,Melaleuca alternifolia,"티트리 잎의 모양이 얇은 잎으로 모여 있다보니 전나무와 혼동하는 경우가 있어요. 소나무의 잎과 다르게 따갑지 않고 부드러운 촉감을 준답니다. 티트리는 성장속도가 빠르고 키가 큰 식물이에요. 상큼한 향을 지니고 있는 티트리는 살균, 피부 진정과, 여드름, 상처치유에 효과적이라고 해서 화장품으로 쓰여요. 생잎의 경우 아로마 테라피에 사용하는 오일로 사용되며 마시는 차의 경우 말려서 사용한답니다.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,18~25℃,-4℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,"소, 중형",중,"소: 4천원~1만원
중: 5만원~8만원",,,,,,,
코코스 야자(코코넛 야자),그림,Cocos Nucifera,"코코스 야자는 야자의 일반적인 잎모양과 달라요. 어렸을 때는 한개의 잎 처럼 뭉쳐서 나오지만 성장 하면서 피닉스야자의 모습과 비슷하게 잎이 나뉘어 자란답니다. 코코스 야쟈의 열매, 코코넛은 음식, 화장품, 오일, 식물을 심는 재료 등 다양한 용도로 많이 사용되어서 우리에게 활용도 높은 식물이에요. 잎이 넓어 습도를 올려주고 공기정화에도 도움을 준답니다.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,20~33℃ , 0℃ 이상,녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,중형,중,4만5천원~8만원,,,,,,,
세네시오 칸디칸스 (엔젤윙),그림,Senecio candicans 'Angel wings',천사의 날개라고 불리는 엔젤윙은 생김새가 아름다워서 영국의 새로운 품종 대회에서 우수한 상을 받았어요. 동그란 잎에는 마치 눈이 내린 듯이 흰 솜털이 빽빽하게 있어 마치 벨벳을 만지는 것 같은 부드러운 질감을 가지고 있답니다. 사계절 내내 아름다운 은빛 잎은 햇빛이 부족하면 잎이 쪼그라들어요. 녹영(콩란)과 같은 세네시오 속의 엔젤윙은 통통한 잎에 수분을 많이 머금고 있어 건조에 잘 견디고 과습에 예민한 다육이의 성질을 가진 식물이랍니다. 잎에 난 흰 솜털들이 엔젤윙의 잎이 수분을 잘 머금고 있도록 도와준답니다.,"평균 주 1~2회
화분 속 흙이 절반 이상 마르면 듬뿍 주세요",양지,40~70%,15~25℃,-5℃ 이상,녹색 잎에 흰솜털,잎을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,,,,소형,상,-,,,,,,,
팔손이 나무,그림,Fatsia japonica,팔손이는 우리나라에서 자생하고 쉽게 자라나는 두릅나무과에 속해진 식물이에요. 이름에서도 느껴지듯 잎이 보통 8개로 나온다 하여 '팔손이' 이지만 7~9개로 갈라져 나오기도 해요. 잎의 크기는 40cm 까지도 크게 자라요. 꽃은 흰 색을 띄고 있으며 꽃의 향 때문에 파리들이 주변에 날아 들기도해요. 따듯한 아래 남부지역에서는 야외에서도 키울 수 있어요.,"주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,40~70%,15~22℃, -10℃ 이상,녹색,잎을 감상하는,,별모양,갈라진,잎 끝이 뾰족한,잎이 두꺼운,,,"소, 중형 ",하,"소: 5천원~8천원
중: 2만원~5만원",,,,,,,
호야 콤팩타(리본호야),그림,Hoya carnosa 'Compacta',호야과 식물 호야 '콤팩타'는 생김새가 꼬불꼬불하게 생겼어요. 리본 호야로도 불리는 콤팩타는 둥근 모양으로 분홍 꽃이 뭉쳐서 피고 꽃 한 개의 모양은 별모양을 닮았어요. 향기로운 분홍꽃의 특이한 점은 나온 자리에서만 다시 피어난답니다. 호야 콤팩타는 통통한 잎에 물을 저장하는 식물로 자주 물을 주지 않아도 물관리하기 쉬워서 집들이 선물로 좋아요.,"주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,21~25°C,10℃ 이상,녹색,잎을 감상하는,,둥근모양,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,소형,중,1만원~2만원,,,,,,,
수염 틸란드시아,그림,Tillandsia usneoides,북아메리카에서 스페니쉬모스라고도 불리는 수염 틸란시아는 흙없이 키우는 공중식물이에요. 수염 틸란시아는 생김새와 다르게 파인애플과 식물이에요. 미세먼지 흡수에 탁월한 수염 틸란은 빛을 많이 받지못하면 흰 무늬가 옅어진답니다. 줄기에 붙어있는 하얀 털(트리콤)으로공기중에 있는 먼지와 습도를 통해 영양분을 흡수해요. 큰 공간을 차지 하지 않기 때문에 인테리어용으로 두면 공간활용과 은은한 분위기를 연출할수 있어요.,"주 1~2회
분무를 해주거나, 30분정도 물에 담가주세요.",양지,40~70%,16~25℃,10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,소형,중,7천원~2만원,,,,,,,
백묘국,그림,Jacobaea maritima,백묘국은 하얀 토끼를 닮아 백묘국이라고 이름 붙여졌어요. 레이스 같은 모양의 잎에는 이불을 덮고 있는 것처럼 흰 솜털이 촘촘하게 나 있어서 벨벳을 만지는 것 같은 부드러운 질감을 가지고 있답니다. 백묘국의 아름다운 흰 잎은 빛이 부족하면 녹색으로 변할 수 있으니 빛이 잘 드는 곳에서 키워주세요.백묘국의 잎에 난 흰 솜털은 잎이 수분을 잘 머금을 수 있도록 도와준답니다. 빛이 잘 드는 곳에서 과습에만 주의해주시면 초보가드너도 어려움 없이 키울 수 있어요.,"주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,10~20℃,-5℃ 이상,녹색 잎에 흰솜털,잎을 감상하는,,길쭉한,갈라진,잎 끝이 뾰족한,잎이 두꺼운,초보자,,소형,중,3천원~7만원,,,,,,,
틸란드시아 시아네아,그림,Tillandsia Cyanea (Wallisia cyanea),"키아네아는 '푸른 풀물이 짙게 염색 되었다'는 뜻으로 이에요. 보통의 틸란시아와 다르게 잎의 한가운데 있는 분홍색 포엽이라는 곳에서 보라색 꽃이 피고 언뜻보면 무늬가 없는 접란을 닮았어요. 공기중의 미세먼지를 먹고 자라는 키아네아는 파인애플과에 속하는 친구에요. 건조한 지역에서 온 키아네아는 다른 식물보다 물이 없고 자라기 힘든 곳, 모래와 절벽에서도 자라난답니다. 유럽에서는 키아네아의 꽃을 좋아해서 번식을 통해 많은 판매가 이루어진답니다.","주 1회
물에 30분 담근 후, 물이 고이지 않게 말려주세요.",반음지,40~70%,16~25℃,7℃ 이상,"녹색 잎, 분홍색 포엽, 보라색 꽃",꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,초보자,,소형,중,6천원~1만5천원,,,,,,,
은엽 아카시아,그림,Acacia Dealbata,"많이 알고 있고 오해하고 있는 아카시아 나무는 아까시나무라 하는 식물이에요! 노란 꽃을 피는 은엽 아카시아가 진짜 아카시아 나무랍니다. 아까시 나무는 흰 꽃이 피우고 은엽아카시아 나무는 동그랗고 노란 꽃을 피워요. 호주에서 자라는 은엽 아카시아는 물빠짐이 잘되고 바람과 햇빛을 좋아해요. 은백색의 잎은 이국적인 느낌을 주어 카페 인테리어로 많이 사용되고, 향기로운 꽃은 향수의 원재료로 사용되요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,15~25℃,-5℃ 이상,"녹색잎, 노란꽃",잎을 감상하는,,길쭉한,갈라진,잎 끝이 뾰족한,잎이 두꺼운,,,중형,중,4만5천원~12만원,,,,,,,
은사초,그림,Festuca glauca,"아시아에서 자라나는 은사초는 한국에서 많이 보이는 식물이에요. 사시사철 푸른 은색을 띄고 있는 은사초는 5~7월에 벼꽃을 닮은 꽃을 피우고, 30~50cm 까지 자라 고슴도치가 움츠린 모양과 비슷한 외형을 지니고 있답니다. 실내의 경우 사계절 베란다에 두고 키우면 좋아요. 주로 조경을 위해 야외 그라스나 정원에 심는답니다.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,18~25℃ ,-10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,"소, 중형",하,"소: 2천원~1만원
중: 1만원~2만5천원",,,,,,,
쿠션 부쉬,그림,Leucophyta Brownii,"호주의 해안가에서 자라는 호주야생화, 쿠션부쉬는 1m까지 자라는 식물이에요. 우리나라는 실내에서 키워서 20~70cm 정도로 자란답니다. 국화과의 식물이라 꽃이 피면 노란색 꽃을 피워요. 햇빛이 잘들고 바람이 아주 잘부는 환경을 좋아해서 실내에서 키우기 다소 어려운 식물이에요. 그럼에도 눈부신 은백색 잎이 매력적이어서 사랑받는 식물이에요.","주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,15~25℃, 5℃  이상,은빛이 도는 녹색,잎을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,잎이 빳빳한,,,소형,상,4천원~1만2천원,,,,,,,
드나세나 와네키,그림,Dracaena deremensis 'Warneckii',"드라세나 와네키는 '데레멘시스' 줄기의 돌연변이 종으로 태어났어요. 잎이 길고 위로 뻗어 있답니다. 여러 드라세나 중 무늬가 있어 인기가 있는 친구에요. 잎의 색은 녹색, 흰색이며 2m 이상 크게 되면 5~10일 정도 꽃이 피어요. 이 꽃 향기가 매~우 진해서 수십 미터 까지도 향이 나요.","주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,20~26℃ ,10℃ 이상,녹색에 흰 줄무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,,소형 ,중,-,,,,,,,
피닉스 야자,그림,Phoenix roebelenii,피닉스 야자의 이름 '피닉스'는 불사조를 의미하며 빨간 열매를 맺어서 유래된 이름이에요. 시원한 잎의 모양을 가진 야자수 모습을 하고있답니다. 키는 1.5~2.5m 까지도 크며 생육이 느린 식물이에요. 제주도에 많이 있는 소철과 비슷하게 생겼어요. 병충해에 강하고 새로 나오는 잎에는 하얀 가루같은 것이 보이며 붙어있어요. 잎줄기에는 뾰족하고 작은 잎들이 백개 정도가 붙어있어요.,"주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40~70%,16~25℃,-3℃  이상,녹색,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,,,"중, 대형",중,"중: 3만원~4만5천원
대: 8만원~15만원",,,,,,,
드나세나 콤팩타,그림,Dracaena deremensis 'Virens Compacta',"드라세나 콤팩타는 이름에서 느껴지듯 'Compacta, 밀집되다, 꽉 차있다' 의 의미로 잎의 배열이 촘촘하게 되어있어 얻어진 이름이에요. 잎은 광택이 있고 잎의 길이가 10cm 내외로 다른 드라세나 종에 비해 짧은 편이에요. 줄기와 잎이 위로 자라나는 성질을 지니고 있어요.","주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,16~25℃ -,4℃ 이상,광택이 있는 녹색,잎을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,"소, 중형",중,"소: 8천원~1만5천원
중: 2만원~5만5천원
",,,,,,,
원숭이꼬리 선인장,그림,Cleistocactus colademononis,"곰의 꼬리, 여우꼬리 선인장이라고도 불리는 원숭이꼬리 선인장은 볼리비아에서 왔어요. 부드러운 흰 털 안에 가시가 있어 주의해서 만져야해요. 7~8월에 붉은 꽃을 피워요. 긴 줄기가 잘리거나 끊어지면 도마뱀의 꼬리처럼 천천히 다시 자라요. 끊어진 줄기도 말려서 심으면 키울 수 있어요. 흙 속이 축축한 것을 싫어해서 건조하게 관리해주는 것이 좋아요.","3주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,18~25℃ ,0℃ 이상,흰털이 난 녹색몸통,다육/선인장,O,잎이 두꺼운,,,,,,소형,중,1만5천원~4만5천원,,,,,,,
코브라 아비스,그림,Asplenium nidus 'Cobra',"코브라 아비스는 코브라를 생각나게하는 웨이브진 두툼한 잎이 매력인 고사리과 식물입니다. 습기가 많고 그늘진 나무나 바위 위에 붙어서 사는 착생 식물로, 아기가 주먹을 꼭 쥔 것 같이 꽉 말려있던 새 순이 빛을 받기위해 조금씩 펴지는 모습을 관찰하는 재미가 있는 식물이랍니다. 코브라 아비스는 은은한 빛이 드는 따뜻한 곳에서 주변 공기를 촉촉하게 관리해주시면 초보 식집사도 건강하게 키울 수 있어요. 식물체에는 독성이 없어 반려동물이나 어린아이가 있는 집에서도 안심하고 키울 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,70%이상,21~25℃,10℃ 이상,녹색,잎을 감상하는,,길쭉한,잎이 두꺼운,잎이 빳빳한,,,안전,소형,하,7천원~1만5천원,,,,,,,
청하각,그림,Euphorbia trigona,"사막에서 온 선인장 청하각은 건조에 강한 식물이에요. 청하각은 줄기를 자르면 하얀 수액이 나와서 아프리카 우유나무라고도 불려요. 선인장이면서 특이하게 잎을 가지고 있고 줄기에 광택이 약간 있어요. 성장기에 가시가 있는 부분에서 잎이 나오는데 날씨가 추워지면 낙엽이 되어 떨어져요. 줄기를 자를 때 나오는 하얀 수액은 천, 휴지로 하루정도 막아주면 저절로 멈추고 따로 분리하여 심을 수 있는 자구가 다른 선인장에 비해 많이 생긴답니다.","3주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,10~25℃ ,0℃ 이상,녹색,다육/선인장,O,,,,,,,"소, 중형",중,"소: 8천원~1만5천원
중: 3만원~8만원",,,,,,,
알로카시아 아마조니카,그림,Alocasia amazonica,"거북이의 등껍질, 코끼리의 귀를 닮은 알로카시아 아마조니카는 알로카시아 오도라와 다르게 암녹색의 어두운 잎에 하얀색 선(잎맥)이 뚜렷하게 보여요. 따듯한 곳을 좋아하고 과습과 건조에 동시에 약한 친구랍니다. 알로카시아 아마조니카는 실내에 두면 시선을 확 잡을만큼 독특하고 인테리어 효과가 좋아요. 플로리스트가 장식을 할 때 많이 사용하는 식물이에요.","주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,21~25℃,13°C 이상,녹색 하얀잎맥,잎을 감상하는,,별모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,,"소, 중형",중,"소: 5만원~8만원
중: 8만원~",,,,,,,
녹태고,그림,Xerosicyos danguyi,"마다가스카르에서 온 녹태고는 'Silver dollar plant' 라는 영어이름을 가지고 있어요. 둥글둥글한 동전을 닮은 녹태고는 덩굴성 다육식물이라 위로 길게 자라요. 지지대를 타고 위로 자라고 얇은 잎이 아닌 딱딱한 잎을 가지고 있어요. 새순이 돋아났을때 잎이 잘 마를 수 있으니 스프레이를 해주세요. 시간이 지나면서 처음 있던 가지는 목질화가 된답니다. 줄기를 잘라 삽목한지 얼마 안된 녹태고는 성장이 느린편이지만, 자리를 잡고나면 다른 다육식물에 비해 성장이 빠른편이에요.","2주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반양지,40~70%,18~26℃,5℃ 이상,녹색,다육/선인장,X,둥근모양,잎이 두꺼운,잎이 빳빳한,,,,소형,중,1만원~2만원,,,,,,,
백도선,그림,Opuntia microdasys,"토끼귀를 닮은 귀여운 모습과는 다르게 백도선은 정열의 나라 멕시코에서 온 선인장과 식물이에요. 피부를 찌르지 않는 흰 가시를 가지고 있지만 가시의 크기가 얇고 작아서 피부에 자극을 줄 수 있으니 주의해야해요. 밤에는 실내의 이산화탄소를 제거 기능이 있어서, 방안에 두면 좋은 CAM 식물이에요.","한 달 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,15~30℃,8℃ 이상,흰가시난 녹색 몸통,다육/선인장,X,둥근모양,잎이 두꺼운,잎이 빳빳한,,,,소형,중,2천원~5천원,,,,,,,
백운각,그림,Cereus hildmannianus,"백운각은 정열의 나라 멕시코에서온 식물이에요. 시장에서는 다양한 사이즈로 소형, 중형, 대형으로 거래되요. 백운각의 고향인 멕시코에서는 울타리로도 사용하고 크기가 큰 식물이라 이국적인 느낌을 낼 수 있어요. 백운각은 밤에 이산화탄소를 흡수하여 낮에 광합성 하기에 밤에 공기 정화 효과를 더욱 느낄 수 있는 식물이에요.","한 달 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",양지,40% 이하,15~30℃,0℃ 이상,진녹색,다육/선인장,O,,,,,,,"소, 중, 대형",중,"소: 3천원~1만원
중: 1만원~3만원
대: 3만원~만원",,,,,,,
십이지권,그림,Haworthia fasciata,"하월시아 속, 다육식물 십이지권은 얼룩말 무늬를 가지고 뾰족한 잎을 가진 친구에요. 밤에 실내의 이산화탄소를 제거 하고 산소를 뿜는 성격이 있는 CAM 식물이에요. 잎의 길이가 5cm 정도 밖에 되지 않는 앙증맞은 식물이랍니다. 무늬를 빼면 미니알로에와도 비슷한 생김새를 가지고 있어요. 햇빛을 많이 받으면 초록색 잎이 갈색으로 변해요. 오랜시간 강한 햇빛에 노출되면 잎이 탈 수 있으니 주의해주세요","2주 1회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요.",반음지,40~70%,15~26℃,4℃ 이상,녹색잎에 하얀 가로 줄무늬,다육/선인장,X,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,,,소형,중,3천원~1만원,,,,,,,
